gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,500.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,840.0,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,510.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,780.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,28070.0,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,53320.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,25630.0,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,15220.0,nM
GRIN1,Q05586,CHEMBL1254766,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,=,280.0,nM
GRIN1,Q05586,CHEMBL2106325,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,2960.0,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,1040.0,nM
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,251.19,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,25118.86,nM
GRIN1,Q05586,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,19952.62,nM
GRIN1,Q05586,CHEMBL350719,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,39810.72,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,31622.78,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,50118.72,nM
GRIN1,Q05586,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,31622.78,nM
GRIN1,Q05586,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,31622.78,nM
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,63.1,nM
